,0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
0,1,1,-1,1,-1,1,1,1,0.0,-1.4727370599999998,235
1,1,-1,1,-1,-1,1,1,-1,0.0,-1.38857954,332
2,-1,-1,1,-1,1,-1,-1,-1,0.0,-1.2948920599999996,220
3,1,-1,1,1,-1,1,-1,-1,0.0,-1.2713565399999998,99
4,1,1,-1,-1,-1,1,1,1,0.0,-1.12965546,18
5,1,-1,1,-1,-1,-1,1,-1,0.0,-1.0306162600000002,11
6,-1,-1,1,-1,1,1,-1,-1,0.0,-1.0160313399999998,7
7,-1,-1,1,-1,-1,-1,-1,-1,0.0,-1.01267606,6
8,1,1,-1,1,-1,-1,1,1,0.0,-1.00400034,2
9,1,1,-1,1,-1,1,-1,-1,0.0,-0.9654865399999997,9
10,1,1,-1,-1,-1,1,1,-1,0.0,-0.9610735399999999,5
11,1,1,1,-1,-1,1,1,1,0.0,-0.9452234599999998,6
12,1,-1,1,-1,-1,1,1,1,0.0,-0.93624146,4
13,-1,-1,-1,-1,1,1,-1,-1,0.0,-0.9350633399999999,2
14,-1,1,-1,1,1,-1,-1,1,0.0,-0.93322254,6
15,-1,1,-1,-1,1,-1,1,1,0.0,-0.92384154,2
16,-1,-1,-1,1,1,1,-1,-1,0.0,-0.9164977399999998,1
17,-1,-1,1,-1,-1,-1,1,-1,0.0,-0.91374146,3
18,1,1,-1,1,-1,1,1,-1,0.0,-0.9105871399999999,1
19,1,-1,1,-1,-1,1,-1,-1,0.0,-0.8967541399999999,1
20,1,-1,1,1,1,1,-1,-1,0.0,-0.8901005399999999,1
21,1,1,1,-1,-1,1,1,-1,0.0,-0.8840415399999999,3
22,-1,-1,1,-1,-1,1,-1,-1,0.0,-0.87983134,1
23,-1,-1,1,1,1,-1,-1,-1,0.0,-0.8766304599999999,5
24,1,1,-1,1,1,1,1,1,0.0,-0.8725930599999998,1
25,1,1,1,-1,-1,-1,1,1,0.0,-0.86554274,3
26,-1,1,-1,-1,-1,-1,1,1,0.0,-0.8605135400000001,2
27,1,-1,1,1,-1,-1,-1,-1,0.0,-0.8439292599999999,1
28,1,1,1,1,-1,-1,1,1,0.0,-0.8089283400000002,1
29,1,1,1,-1,-1,-1,1,-1,0.0,-0.8078942599999999,3
30,1,1,1,1,-1,1,-1,-1,0.0,-0.7573425399999999,2
31,1,1,-1,1,-1,1,-1,1,0.0,-0.7433884600000003,2
32,-1,-1,1,1,-1,-1,-1,-1,0.0,-0.69337446,1
33,-1,1,-1,1,1,-1,-1,-1,0.0,-0.6673124599999998,2
34,1,1,-1,-1,1,1,1,1,0.0,-0.62847146,1
35,1,-1,1,1,1,1,-1,1,0.0,-0.5297784600000002,1
