,0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
0,1,1,-1,1,-1,1,-1,-1,0.0,-1.05092894,436
1,-1,-1,1,-1,-1,-1,1,-1,0.0,-1.0324854600000002,351
2,1,1,-1,1,-1,-1,-1,-1,0.0,-0.9815588599999998,89
3,-1,-1,-1,1,-1,-1,-1,-1,0.0,-0.8769176599999999,31
4,-1,-1,1,1,-1,-1,-1,-1,0.0,-0.8632618600000002,23
5,1,-1,1,-1,-1,-1,1,-1,0.0,-0.8423978600000002,10
6,1,1,-1,1,1,1,-1,-1,0.0,-0.82514566,16
7,1,1,1,-1,-1,-1,1,-1,0.0,-0.82191466,3
8,1,-1,1,1,-1,-1,-1,-1,0.0,-0.8105262599999998,3
9,-1,-1,1,1,-1,-1,-1,-1,0.125,-0.8632618600000002,2
10,-1,-1,1,-1,-1,-1,-1,-1,0.0,-0.76633346,1
11,-1,-1,1,-1,1,-1,1,1,0.0,-0.7634229399999999,6
12,1,1,-1,1,1,-1,-1,-1,0.0,-0.7626757399999999,7
13,-1,-1,-1,1,1,-1,-1,1,0.0,-0.7613387400000002,2
14,-1,1,-1,1,1,-1,-1,1,0.0,-0.7543219400000001,1
15,-1,-1,1,-1,-1,-1,1,-1,0.125,-1.0324854600000002,1
16,1,-1,-1,1,-1,-1,-1,-1,0.0,-0.72839806,1
17,-1,1,-1,1,-1,1,-1,-1,0.0,-0.71754454,1
18,-1,-1,1,-1,-1,-1,1,1,0.0,-0.7153076599999999,3
19,-1,-1,-1,1,-1,1,-1,-1,0.0,-0.6988477399999999,2
20,-1,1,-1,1,1,1,-1,1,0.0,-0.6493758600000001,1
21,-1,1,1,-1,-1,-1,1,-1,0.0,-0.63225026,1
22,1,1,-1,1,1,-1,-1,1,0.0,-0.6028775399999999,1
23,1,1,1,1,-1,-1,-1,-1,0.0,-0.6020790600000001,1
24,1,1,-1,1,1,1,-1,1,0.0,-0.60008346,1
25,-1,-1,-1,1,-1,-1,-1,1,0.0,-0.5654650600000002,1
26,1,1,1,-1,-1,1,1,-1,0.0,-0.5607087399999999,1
27,-1,-1,1,-1,-1,1,1,-1,0.0,-0.52383954,1
28,-1,1,1,-1,1,-1,1,1,0.0,-0.48276214000000006,1
29,-1,1,-1,1,1,1,-1,-1,0.0,-0.47879005999999996,1
30,-1,-1,1,-1,-1,-1,1,-1,0.125,-1.0324854600000002,1
