,0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
0,1,-1,-1,-1,1,-1,-1,-1,0.0,-0.36788161999999996,580
1,1,-1,1,-1,1,-1,1,-1,0.0,-0.36070474,256
2,1,-1,1,-1,1,-1,-1,-1,0.0,-0.35689122,94
3,-1,-1,-1,-1,1,-1,1,1,0.0,-0.34848038,40
4,1,-1,-1,-1,1,-1,1,1,0.0,-0.34164834000000005,7
5,1,-1,-1,-1,1,-1,1,-1,0.0,-0.34062394,11
6,1,-1,-1,-1,1,-1,-1,1,0.0,-0.33605962000000006,2
7,1,-1,1,-1,1,-1,1,1,0.0,-0.33591314,3
8,-1,-1,-1,-1,-1,-1,1,1,0.0,-0.33286917999999993,2
9,-1,-1,-1,-1,-1,-1,1,-1,0.0,-0.32416558,2
10,1,-1,1,-1,-1,-1,1,-1,0.0,-0.31271114000000005,2
11,1,-1,-1,-1,-1,-1,-1,-1,0.0,-0.29537602,1
