,0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
0,1,1,-1,-1,1,-1,1,-1,0.0,-1.8002388000000002,451
1,-1,-1,1,1,-1,1,-1,1,0.0,-1.5786488000000003,223
2,1,1,1,-1,-1,1,-1,-1,0.0,-1.4511232,31
3,-1,-1,1,1,-1,1,-1,-1,0.0,-1.4487272,78
4,-1,-1,1,1,-1,-1,-1,-1,0.0,-1.4010651999999997,92
5,-1,-1,-1,1,1,-1,1,-1,0.0,-1.3893507999999999,53
6,1,1,-1,-1,1,1,1,-1,0.0,-1.3377808,6
7,-1,-1,-1,1,-1,-1,1,-1,0.0,-1.2138328,12
8,1,-1,-1,1,1,-1,1,-1,0.0,-1.1979220000000004,7
9,1,1,-1,1,1,-1,1,-1,0.0,-1.1865240000000001,11
10,1,1,-1,-1,1,1,-1,-1,0.0,-1.1771864,1
11,1,1,-1,-1,-1,-1,1,-1,0.0,-1.1730327999999999,7
12,-1,1,1,-1,-1,-1,-1,-1,0.0,-1.0916363999999998,3
13,-1,-1,1,1,-1,-1,1,-1,0.0,-1.08425,2
14,-1,-1,-1,1,1,-1,1,1,0.0,-1.0660531999999998,1
15,-1,-1,1,1,-1,-1,-1,1,0.0,-1.0370508000000003,1
16,1,1,-1,1,-1,-1,1,-1,0.0,-1.0333339999999998,2
17,1,-1,-1,1,1,1,1,-1,0.0,-1.0270480000000006,1
18,1,-1,1,1,-1,1,-1,-1,0.0,-1.0252400000000002,1
19,-1,-1,1,1,1,1,-1,1,0.0,-1.0137108,4
20,-1,1,-1,1,-1,-1,1,-1,0.0,-1.0003388,1
21,-1,1,-1,-1,1,-1,1,-1,0.0,-0.9647716000000001,2
22,1,1,1,-1,-1,-1,1,-1,0.0,-0.9377356,1
23,1,1,-1,-1,1,-1,1,1,0.0,-0.9233572000000002,2
24,-1,-1,-1,1,-1,1,-1,-1,0.0,-0.9036860000000001,1
25,1,-1,1,1,1,1,-1,1,0.0,-0.8945916000000002,2
26,1,-1,-1,1,1,1,-1,-1,0.0,-0.8520952000000003,1
27,-1,-1,-1,1,1,1,-1,1,0.0,-0.8504856,1
28,1,1,-1,-1,-1,1,1,-1,0.0,-0.8340067999999999,1
29,-1,-1,1,1,-1,-1,-1,-1,0.125,-1.4010651999999997,1
