,0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
0,1,-1,1,1,-1,-1,1,-1,0.0,-0.8929803050000001,876
1,1,-1,1,-1,-1,-1,1,-1,0.0,-0.780547105,55
2,-1,-1,1,-1,-1,-1,1,-1,0.0,-0.745897095,20
3,-1,1,-1,-1,1,1,-1,1,0.0,-0.7359209050000001,39
4,-1,-1,1,1,-1,-1,1,-1,0.0,-0.667898295,5
5,-1,1,-1,-1,1,1,-1,-1,0.0,-0.5355333050000001,1
6,1,1,1,1,-1,-1,1,-1,0.125,-0.4123535049999999,1
7,1,1,-1,-1,1,1,-1,-1,0.0,-0.5120272949999999,1
8,-1,1,-1,-1,-1,1,-1,-1,0.0,-0.4572745050000001,1
9,-1,-1,1,-1,1,-1,1,-1,0.0,-0.41395829500000003,1
