,0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
0,1,1,-1,1,-1,-1,-1,-1,0.0,-2.2999892,956
1,1,1,1,1,-1,-1,-1,-1,0.0,-1.8690420000000003,3
2,1,1,-1,-1,-1,-1,-1,-1,0.0,-1.8346939999999998,8
3,-1,-1,-1,1,-1,-1,-1,-1,0.0,-1.7180279999999999,14
4,1,-1,-1,1,-1,-1,-1,-1,0.0,-1.6939252000000002,3
5,-1,-1,1,1,1,1,-1,1,0.0,-1.6333675999999993,11
6,-1,-1,1,1,-1,-1,-1,-1,0.0,-1.5346968000000003,1
7,-1,1,-1,1,-1,-1,-1,-1,0.0,-1.5110519999999998,1
8,-1,-1,1,1,1,1,-1,-1,0.0,-1.463968,1
9,1,1,-1,-1,-1,-1,1,-1,0.0,-1.2717507999999995,1
10,1,1,-1,1,-1,-1,-1,-1,0.125,-2.2999892,1
