,0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
0,-1,1,-1,-1,1,1,-1,1,0.0,-1.2774498080000003,360
1,-1,-1,-1,-1,1,1,1,1,0.0,-1.228680512,294
2,-1,1,-1,-1,1,1,1,1,0.0,-1.136624512,31
3,-1,-1,1,-1,-1,-1,1,1,0.0,-1.0911274880000004,134
4,-1,-1,1,-1,-1,-1,-1,-1,0.0,-1.0396341920000003,91
5,-1,-1,-1,-1,1,1,-1,1,0.0,-1.011793808,20
6,-1,-1,1,1,-1,-1,-1,-1,0.0,-1.011113792,31
7,-1,-1,1,-1,-1,-1,1,-1,0.0,-0.9921314880000003,19
8,-1,-1,-1,-1,1,1,-1,-1,0.0,-0.9239418079999998,6
9,-1,-1,-1,1,1,1,-1,-1,0.0,-0.882078208,3
10,-1,1,-1,-1,1,-1,-1,1,0.0,-0.8686319120000001,2
11,-1,-1,-1,-1,1,1,1,-1,0.0,-0.8588605119999998,1
12,-1,-1,1,-1,-1,-1,-1,1,0.0,-0.856662192,1
13,1,1,-1,-1,1,1,1,1,0.0,-0.8181783920000001,1
14,-1,-1,-1,-1,1,-1,1,1,0.0,-0.7754932080000001,1
15,-1,-1,1,-1,1,-1,1,1,0.0,-0.7753912080000002,1
16,-1,-1,-1,-1,1,-1,1,1,0.125,-0.7754932080000001,1
17,-1,1,-1,-1,1,1,-1,1,0.125,-1.2774498080000003,1
18,1,-1,1,-1,-1,-1,1,-1,0.0,-0.6324656080000001,1
19,-1,-1,-1,-1,1,-1,-1,-1,0.125,-0.636888712,1
