,0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
0,-1,1,1,-1,-1,1,-1,-1,0.0,-0.9480082000000003,357
1,-1,1,1,-1,-1,-1,-1,-1,0.0,-0.9427970000000002,320
2,-1,1,-1,1,-1,-1,-1,-1,0.0,-0.8991898,57
3,-1,1,-1,1,-1,1,-1,-1,0.0,-0.8843930000000003,21
4,-1,1,1,1,-1,-1,-1,-1,0.0,-0.8793458000000002,27
5,-1,-1,1,-1,-1,1,-1,-1,0.0,-0.8786242000000001,86
6,-1,1,1,-1,-1,1,-1,1,0.0,-0.8658837999999999,53
7,-1,-1,1,1,-1,-1,-1,-1,0.0,-0.8621458,44
8,-1,-1,1,1,-1,1,-1,-1,0.0,-0.7948450000000001,4
9,-1,1,-1,-1,-1,1,-1,-1,0.0,-0.7590202000000004,6
10,1,1,1,-1,-1,1,-1,-1,0.0,-0.7382462000000002,6
11,-1,1,-1,1,-1,1,-1,1,0.0,-0.7369518,3
12,1,1,1,-1,-1,-1,-1,-1,0.0,-0.7161574000000003,6
13,-1,1,1,-1,-1,1,-1,-1,0.125,-0.9480082000000003,1
14,-1,-1,1,-1,-1,-1,-1,-1,0.0,-0.6551729999999999,1
15,1,1,1,1,-1,-1,-1,-1,0.0,-0.6547174,1
16,-1,-1,1,-1,-1,1,-1,1,0.0,-0.6452837999999997,1
17,-1,-1,1,-1,-1,1,1,1,0.0,-0.6391145999999999,3
18,-1,-1,1,1,-1,1,-1,1,0.0,-0.6292277999999999,1
19,-1,1,-1,-1,-1,1,-1,1,0.0,-0.5438558,1
20,-1,1,-1,1,-1,-1,1,-1,0.0,-0.3718606,1
