,0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
0,1,1,-1,-1,1,1,1,1,0.0,-0.24623425999999995,370
1,1,1,1,-1,1,1,-1,1,0.0,-0.23984525999999998,216
2,-1,1,1,-1,-1,-1,-1,-1,0.0,-0.23456914000000004,309
3,-1,-1,1,-1,-1,-1,-1,-1,0.0,-0.20985854000000007,14
4,1,1,1,-1,1,1,1,1,0.0,-0.20610925999999993,6
5,-1,1,-1,-1,-1,-1,1,-1,0.0,-0.19077974,10
6,1,1,-1,-1,1,1,-1,1,0.0,-0.18292225999999998,3
7,1,1,-1,-1,1,-1,1,-1,0.0,-0.18279885999999998,26
8,1,1,1,-1,1,-1,-1,-1,0.0,-0.17912186000000005,17
9,-1,-1,1,-1,-1,-1,1,-1,0.0,-0.17699054,1
10,-1,1,1,-1,-1,-1,1,-1,0.0,-0.17517953999999994,1
11,1,1,-1,-1,1,-1,-1,-1,0.0,-0.17264846000000003,11
12,1,1,1,-1,1,-1,-1,1,0.0,-0.17205626,9
13,1,-1,-1,-1,1,1,1,1,0.0,-0.15813325999999997,1
14,-1,1,-1,-1,-1,-1,-1,-1,0.0,-0.15312134000000002,1
15,-1,1,1,-1,-1,-1,-1,1,0.0,-0.15219074000000007,1
16,1,1,-1,-1,1,1,1,-1,0.0,-0.15177506,2
17,-1,1,-1,-1,1,-1,-1,-1,0.0,-0.13763806000000003,1
18,-1,1,1,-1,1,-1,-1,-1,0.0,-0.13222985999999998,1
