,0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
0,1,-1,1,1,1,-1,-1,1,0.0,-0.4042306,725
1,1,-1,1,-1,1,-1,-1,-1,0.0,-0.3921762000000001,158
2,1,-1,1,1,1,-1,-1,-1,0.0,-0.37567740000000016,59
3,1,-1,1,1,-1,-1,-1,-1,0.0,-0.35395540000000003,18
4,-1,-1,1,-1,1,-1,-1,-1,0.0,-0.3400934000000001,13
5,1,-1,1,1,-1,-1,-1,1,0.0,-0.3344037999999999,3
6,-1,-1,1,1,-1,-1,-1,1,0.0,-0.3325914000000001,5
7,1,-1,1,-1,1,-1,-1,1,0.0,-0.3262094,4
8,-1,-1,1,-1,1,-1,-1,1,0.0,-0.32594900000000004,3
9,1,-1,-1,1,1,-1,-1,-1,0.0,-0.3203518000000001,3
10,-1,-1,1,-1,-1,-1,-1,-1,0.0,-0.31680340000000007,4
11,-1,-1,-1,-1,1,-1,-1,-1,0.0,-0.31362140000000005,1
12,1,-1,1,1,1,-1,-1,1,0.125,-0.4042306,2
13,1,-1,1,-1,-1,-1,-1,-1,0.0,-0.2846942,1
14,-1,-1,1,-1,-1,-1,-1,1,0.0,-0.2545542000000002,1
