,0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
0,-1,-1,-1,1,1,-1,1,1,0.0,-0.7480542,510
1,-1,1,1,-1,-1,-1,-1,-1,0.0,-0.7001765999999999,80
2,1,-1,-1,1,-1,1,1,1,0.0,-0.683039,168
3,1,-1,1,1,1,1,-1,1,0.0,-0.6637761999999998,25
4,-1,1,-1,-1,-1,-1,1,-1,0.0,-0.6462733999999999,50
5,1,-1,-1,1,1,1,1,1,0.0,-0.6460314,52
6,-1,-1,-1,1,-1,-1,1,1,0.0,-0.6396242,44
7,-1,1,1,-1,1,-1,-1,-1,0.0,-0.6318682000000001,15
8,1,-1,1,1,-1,1,-1,1,0.0,-0.6297142,16
9,1,-1,-1,1,1,1,-1,1,0.0,-0.5963514,6
10,-1,-1,-1,1,-1,1,1,1,0.0,-0.5859186,11
11,-1,-1,-1,1,1,1,-1,1,0.0,-0.5599486,8
12,-1,1,-1,-1,-1,-1,-1,-1,0.0,-0.5591654,3
13,-1,1,-1,-1,1,-1,-1,-1,0.0,-0.5591394000000001,3
14,-1,-1,-1,1,-1,1,-1,1,0.0,-0.5231745999999999,1
15,-1,-1,-1,-1,1,-1,-1,-1,0.0,-0.5219442000000001,1
16,-1,-1,1,1,-1,1,-1,1,0.0,-0.5188178,1
17,-1,-1,1,1,1,1,-1,1,0.0,-0.4873093999999999,1
18,-1,-1,-1,-1,1,-1,1,1,0.0,-0.4622242,2
19,-1,-1,-1,1,1,-1,1,1,0.125,-0.7480542,1
20,1,1,-1,1,-1,1,1,1,0.0,-0.34965420000000014,1
21,1,-1,-1,1,1,-1,1,1,0.0,-0.322577,1
